Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2003,SE,1409.6,1014.16,988.71,26.38,25.0,20.3,25.95,25.4,12.6,6.77,8.1
2004,SE,1320.2,1013.9,1104.84,26.26,25.0,19.0,25.84,25.7,13.9,6.79,8.4
2006,SE,1037.5,1012.88,10876.89,27.27,25.8,21.4,26.57,26.0,18.3,7.07,8.1
2007,SE,5874.7,1013.6,557.58,25.56,25.7,20.5,25.32,26.3,18.2,7.15,9.0
2008,SE,877.2,1013.12,714.46,26.34,30.3,18.9,25.84,30.3,16.7,7.39,7.9
2009,SE,600.6,1013.04,967.3,26.87,29.9,21.3,26.43,30.4,16.0,6.75,8.7
2010,SE,1890.0,1013.2,776.66,27.03,30.1,19.8,26.36,30.5,16.4,7.18,10.8
2011,SE,1408.4,1013.32,745.22,26.53,24.7,20.0,26.07,27.3,4.3,6.86,8.4
2012,SE,1024.6,1014.34,780.11,26.49,27.8,20.0,26.04,28.1,14.5,7.11,8.7
2013,SE,933.7,1013.9,779.43,26.74,30.1,20.8,26.28,31.1,0.6,6.94,8.2
2014,SE,1345.2,1014.48,752.48,26.67,29.5,20.6,26.14,30.5,0.0,6.84,8.2
2015,SE,1519.2,1014.56,779.96,26.84,27.1,19.4,26.37,28.9,9.7,5.68,8.5
2016,SE,743.4,1014.56,790.62,26.99,24.3,20.7,26.56,24.6,11.6,3.83,8.7
2017,SE,619.0,1014.43,778.59,26.63,23.4,20.6,26.17,24.7,10.6,3.44,6.6
2018,SE,811.0,1014.14,796.74,26.79,23.7,20.9,26.31,24.6,13.4,6.31,6.9
2019,SE,1451.2,1014.19,664.2,27.07,28.0,20.4,26.54,29.2,12.7,6.0,7.0
2020,SE,1426.2,1013.89,54.0,26.84,23.7,19.8,26.32,24.5,9.2,5.93,7.0
2021,SE,1154.2,1013.78,54.0,27.05,34.7,19.9,26.38,35.1,1.1,6.09,6.5
2022,SE,308.6,1014.74,54.0,27.42,29.0,21.2,26.85,29.2,13.1,6.19,6.0
2023,SE,1511.6,1013.91,54.0,26.36,30.0,20.8,25.96,30.6,7.0,5.87,6.5
2003,PA,3252.2,1009.18,10149.2,27.16,26.1,21.9,26.63,27.4,15.9,4.18,5.1
2004,PA,4081.2,1009.09,11533.35,27.44,26.0,22.3,26.93,26.9,17.5,3.97,5.1
2005,PA,3598.1,1008.55,9723.33,27.46,43.4,22.1,26.94,43.7,17.5,3.95,5.7
2006,PA,2332.1,1009.15,5504.29,27.02,43.5,22.0,26.61,44.4,17.6,3.59,5.9
2007,PA,5111.59,1008.44,7312.51,27.19,26.0,22.4,26.59,27.0,18.3,4.18,4.4
2008,PA,2824.21,1008.37,761.38,27.02,26.5,21.5,26.43,26.6,9.6,4.21,6.4
2009,PA,3470.5,1008.64,693.6,26.65,26.2,22.3,26.11,26.9,15.3,3.97,5.6
2010,PA,2821.8,1008.07,701.81,27.16,26.0,22.2,26.61,27.1,15.5,3.79,5.6
2011,PA,3271.9,1008.21,699.87,26.68,27.3,21.8,26.14,28.1,16.5,3.74,5.8
2012,PA,3069.6,1008.76,664.12,26.59,26.1,21.9,26.04,26.3,15.9,3.74,5.7
2013,PA,3026.5,1008.69,670.59,26.78,26.3,21.8,26.23,27.0,17.3,3.62,5.9
2014,PA,3118.3,1009.13,645.14,26.7,26.1,21.8,26.14,27.0,16.5,3.57,6.4
2015,PA,2771.6,1009.31,618.99,26.95,26.9,22.3,26.37,27.2,15.0,3.66,4.2
2016,PA,2815.8,1009.17,617.5,27.12,27.1,22.4,26.57,27.7,18.2,3.58,6.2
2017,PA,3275.9,1008.89,584.03,26.89,26.2,22.0,26.35,27.0,14.8,3.43,7.2
2018,PA,4187.1,1009.11,600.78,26.59,25.7,21.8,26.05,26.7,15.9,3.32,6.3
2019,PA,4268.0,1009.17,616.04,26.81,27.4,21.5,26.24,27.6,18.5,3.2,5.5
2020,PA,5098.0,1008.95,5.0,26.81,26.8,2.0,26.26,27.4,3.9,3.63,5.3
