Year,Month,State,Deforestation_ha,CO2_Emissions,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2003,2,SE,221.32,59332.5,75.8,1012.43,1200.05,27.85,25.0,23.2,27.39,25.4,18.9,6.98,6.7
2003,3,SE,221.32,59332.5,50.6,1011.9,917.63,27.86,24.7,23.5,27.46,25.4,19.3,6.35,7.1
2003,4,SE,331.98,88998.75,66.4,1012.51,454.22,27.88,24.9,22.9,27.43,25.0,18.6,6.12,7.5
2003,5,SE,885.28,237330.0,269.8,1013.6,688.89,26.5,24.7,22.4,26.04,24.9,18.7,5.8,7.6
2003,6,SE,1659.9,444993.75,195.6,1015.13,837.46,25.6,23.4,20.8,25.13,23.9,16.4,5.79,6.7
2003,7,SE,2213.2,593325.0,197.0,1017.34,759.81,24.99,22.6,20.3,24.49,23.7,12.6,6.78,7.2
2003,8,SE,2213.2,593325.0,113.6,1017.01,808.7,24.91,22.6,20.7,24.45,23.2,16.0,6.4,6.2
2003,9,SE,1659.9,444993.75,67.6,1016.1,741.47,25.59,23.7,20.9,25.18,24.1,15.1,7.08,7.6
2003,10,SE,885.28,237330.0,175.2,1014.16,1420.48,26.04,23.2,21.9,25.64,23.9,17.9,7.7,7.6
2003,11,SE,331.98,88998.75,150.2,1012.3,1258.06,26.4,23.8,22.5,26.01,24.6,18.8,7.59,7.4
2003,12,SE,221.32,59332.5,47.8,1012.41,1865.37,27.26,24.8,23.6,26.91,24.8,19.0,7.93,8.1
2004,1,SE,76.82,21769.56,272.2,1010.9,1595.1,26.64,25.0,22.3,26.22,25.7,19.1,6.5,7.5
2004,2,SE,76.82,21769.56,49.6,1012.15,1264.38,27.31,25.0,22.9,26.91,25.3,19.4,6.45,7.3
2004,3,SE,76.82,21769.56,55.0,1011.79,782.07,27.58,24.9,23.0,27.15,25.0,19.2,6.67,7.1
2004,4,SE,115.23,32654.34,108.6,1012.53,762.2,27.34,24.8,22.2,26.88,24.8,18.4,6.25,7.3
2004,5,SE,307.28,87078.24,163.0,1014.05,869.38,26.35,23.9,21.0,25.9,25.4,18.0,5.83,6.7
2004,6,SE,576.15,163271.7,135.6,1017.02,750.45,25.85,22.9,21.0,25.39,23.6,15.5,6.56,6.8
2004,7,SE,768.2,217695.6,233.4,1016.35,1083.03,24.39,22.9,19.5,23.93,23.9,14.0,6.86,7.7
2004,8,SE,768.2,217695.6,195.4,1017.61,961.72,24.21,22.6,19.0,23.8,23.0,13.9,6.12,6.4
2004,9,SE,576.15,163271.7,74.2,1016.32,801.28,25.26,22.3,20.3,24.84,23.0,15.3,7.08,6.9
2004,10,SE,307.28,87078.24,7.2,1013.65,1228.34,26.35,22.8,23.2,25.97,23.3,17.2,7.93,7.9
2004,11,SE,115.23,32654.34,26.0,1012.41,1578.52,26.66,23.7,23.6,26.26,24.1,15.2,7.77,8.4
2004,12,SE,76.82,21769.56,0.0,1012.01,1574.88,27.25,23.7,23.9,26.86,24.2,19.0,7.48,7.9
2006,1,SE,298.34,95212.62,27.6,1012.11,14053.23,27.3,25.0,23.2,26.88,25.3,19.5,7.27,6.9
2006,2,SE,298.34,95212.62,31.8,1010.91,14615.13,27.71,25.2,24.1,27.38,25.6,20.1,7.53,8.1
2006,3,SE,298.34,95212.62,21.6,1011.51,18947.0,28.34,25.8,24.3,27.93,26.0,21.6,7.38,8.1
2006,4,SE,447.51,142818.93,7.0,1010.05,26130.94,29.0,25.6,27.6,28.61,25.7,22.1,6.72,7.2
2006,5,SE,1193.36,380850.48,0.0,1010.22,22227.29,28.57,23.74,28.78,28.07,24.34,22.29,6.28,2.59
2006,6,SE,2237.55,714094.65,0.0,1012.67,16228.99,27.82,22.94,27.87,26.81,23.54,21.46,6.42,2.52
