Year,Month,State,Deforestation_Level,Total_Precipitation_Level,Atmospheric_Pressure_Station_Level,Global_Radiation_Level,Air_Temperature_Level,Max_Air_Temperature_Level,Min_Air_Temperature_Level,Relative_Humidity_Level,Max_Relative_Humidity_Level,Min_Relative_Humidity_Level,Hourly_Wind_Speed_Level,Max_Wind_Gust_Level
2003,2,SE,Low,Medium,High,High,High,High,High,High,High,High,High,High
2003,3,SE,Low,Medium,High,High,High,High,High,High,High,High,High,High
2003,4,SE,Low,Medium,High,Low,High,High,High,High,Medium,High,High,High
2003,5,SE,Medium,High,High,Medium,Medium,High,High,Medium,Medium,High,High,High
2003,6,SE,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2003,7,SE,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2003,8,SE,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium
2003,9,SE,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2003,10,SE,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High
2003,11,SE,Low,Medium,High,High,Medium,Medium,High,Medium,Medium,High,High,High
2003,12,SE,Low,Low,High,High,High,High,High,High,Medium,High,High,High
2004,1,SE,Low,High,High,High,Medium,High,Medium,Medium,High,High,High,High
2004,2,SE,Low,Medium,High,High,High,High,High,High,High,High,High,High
2004,3,SE,Low,Medium,High,Medium,High,High,High,High,Medium,High,High,High
2004,4,SE,Low,Medium,High,Medium,High,High,Medium,High,Medium,High,High,High
2004,5,SE,Low,Medium,High,High,Medium,Medium,Medium,Medium,High,High,High,High
2004,6,SE,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2004,7,SE,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2004,8,SE,Medium,High,High,High,Low,Medium,Medium,Low,Medium,Medium,High,High
2004,9,SE,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2004,10,SE,Low,Low,High,High,Medium,Medium,High,Medium,Medium,Medium,High,High
2004,11,SE,Low,Low,High,High,Medium,Medium,High,High,Medium,Medium,High,High
2004,12,SE,Low,Low,High,High,High,Medium,High,High,Medium,High,High,High
2006,1,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2006,2,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2006,3,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2006,4,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2006,5,SE,Medium,Low,High,High,High,Medium,High,High,Medium,High,High,Low
2006,6,SE,Medium,Low,High,High,High,Medium,High,High,Medium,High,High,Low
2006,7,SE,High,Low,High,High,High,Medium,High,Medium,Low,High,High,Low
2006,8,SE,High,Low,High,High,Medium,Low,High,Medium,Low,High,High,Low
2006,9,SE,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High
2006,10,SE,Medium,High,High,High,Medium,High,High,Medium,High,High,High,High
2006,11,SE,Low,Medium,High,High,Medium,High,High,Medium,High,High,High,High
2006,12,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2007,1,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2007,2,SE,Low,High,High,High,High,High,High,High,High,High,High,High
2007,3,SE,Low,High,High,High,High,High,Medium,High,High,High,High,Medium
2007,4,SE,Low,High,High,Medium,Medium,High,Medium,Medium,High,High,High,High
2007,5,SE,Medium,High,High,Low,Low,Medium,High,Medium,Medium,High,High,Low
2007,6,SE,Medium,High,High,Low,Low,Medium,High,Medium,Medium,High,High,Low
2007,7,SE,Medium,High,High,Low,Low,Medium,High,Medium,Medium,High,High,Low
2007,8,SE,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,High,High,Low
2007,9,SE,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,High,High,Low
2007,10,SE,Medium,Medium,High,Low,Medium,High,High,Medium,Medium,High,High,High
2007,11,SE,Low,Low,High,High,Medium,High,Medium,Medium,High,High,High,High
2007,12,SE,Low,Low,High,Medium,Medium,High,Medium,Medium,High,High,High,High
2008,1,SE,Low,Low,High,Low,Medium,High,High,Medium,Medium,High,High,Low
2008,2,SE,Low,Low,High,Low,High,High,High,High,High,High,High,Low
2008,3,SE,Low,Low,High,Low,High,High,High,High,High,High,High,Low
2008,4,SE,Low,Medium,High,High,High,High,High,High,High,High,Medium,Medium
2008,5,SE,Medium,High,High,Medium,Medium,High,Medium,Medium,High,High,High,Medium
2008,6,SE,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High,Medium,High,High
2008,7,SE,High,Medium,High,Medium,Medium,High,Medium,Medium,High,High,High,Medium
2008,8,SE,High,Low,High,Medium,Medium,High,Medium,Medium,High,High,High,High
2008,9,SE,Medium,Low,High,High,Medium,High,Medium,Medium,High,High,High,High
2008,10,SE,Medium,Low,High,High,Medium,High,Medium,Medium,High,High,High,High
2008,11,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2008,12,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2009,1,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2009,2,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2009,3,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2009,4,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2009,5,SE,Low,Low,High,Medium,Medium,High,High,Medium,High,High,Medium,High
2009,6,SE,Medium,Low,High,Medium,Medium,High,Medium,Medium,High,High,High,Medium
2009,7,SE,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High,High,High,High
2009,8,SE,Medium,High,High,Medium,Medium,High,Medium,Medium,High,Medium,High,High
2009,9,SE,Medium,Medium,High,High,Medium,High,Medium,Medium,High,High,High,High
2009,10,SE,Low,Low,High,High,Medium,High,High,High,High,High,High,High
2009,11,SE,Low,Medium,High,High,High,Medium,High,High,Medium,High,High,Medium
2009,12,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2010,1,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2010,2,SE,Low,Medium,High,High,High,High,High,High,High,High,High,High
2010,3,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2010,4,SE,Low,High,High,Medium,High,High,High,High,High,High,Medium,High
2010,5,SE,Medium,High,High,Medium,High,High,High,High,High,High,High,Low
2010,6,SE,Medium,High,High,Medium,Medium,High,Medium,Medium,High,High,High,Low
2010,7,SE,Medium,High,High,Medium,Medium,High,Medium,Medium,High,High,High,Low
2010,8,SE,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium
2010,9,SE,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2010,10,SE,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,High
2010,11,SE,Low,Medium,High,Low,High,Medium,High,High,Low,High,High,Medium
2010,12,SE,Low,Low,High,Medium,High,Medium,High,High,Medium,High,High,High
2011,1,SE,Low,Medium,High,High,High,Medium,High,High,High,Low,High,High
2011,2,SE,Low,Low,High,High,High,Low,High,High,Low,Low,High,High
2011,3,SE,Low,Medium,High,High,High,High,High,High,High,Medium,High,High
2011,4,SE,Low,High,High,Medium,High,Medium,High,High,Medium,High,High,High
