Year,Month,State,Month_sin,Month_cos,Deforestation_ha,Deforestation_Class_Median,Deforestation_Class_Q75,CO2_Emissions,Total_Precipitation_z,Atmospheric_Pressure_Station_z,Global_Radiation_z,Air_Temperature_z,Max_Air_Temperature_z,Min_Air_Temperature_z,Relative_Humidity_z,Max_Relative_Humidity_z,Min_Relative_Humidity_z,Hourly_Wind_Speed_z,Max_Wind_Gust_z
2003,2,SE,0.866025,0.500000,221.3200,0,0,59332.5000,-0.230372,0.733114,0.057405,0.863718,0.681429,0.726842,0.889528,0.603281,0.880813,1.088880,0.532070
2003,3,SE,1.000000,6.123234e-17,221.3200,0,0,59332.5000,-0.312053,0.719180,-0.062917,0.866642,0.587884,0.781447,0.910030,0.603281,0.940190,0.701615,0.727985
2003,4,SE,0.866025,-0.500000,331.9800,0,0,88998.7500,-0.260840,0.735217,-0.260349,0.872490,0.650247,0.672237,0.901243,0.478149,0.836280,0.560233,0.923900
2003,5,SE,0.500000,-0.866025,885.2800,0,0,237330.0000,0.398437,0.763874,-0.160370,0.468992,0.587884,0.581229,0.494143,0.446866,0.851125,0.363526,0.972879
2003,6,SE,1.2246468e-16,-1.000000,1659.9000,0,0,444993.7500,0.157934,0.804099,-0.097073,0.205841,0.182520,0.290002,0.227624,0.134035,0.509706,0.357379,0.532070
2003,7,SE,-0.500000,-0.866025,2213.2000,0,0,593325.0000,0.162472,0.862202,-0.130155,0.027483,-0.066934,0.198994,0.040182,0.071469,-0.054378,0.965939,0.776964
2003,8,SE,-0.866025,-0.500000,2213.2000,0,0,593325.0000,-0.107852,0.853526,-0.109326,0.004092,-0.066934,0.271801,0.028467,-0.084946,0.450328,0.732350,0.287177
2003,9,SE,-1.000000,-1.8369702e-16,1659.9000,0,0,444993.7500,-0.256951,0.829601,-0.137968,0.202917,0.276066,0.308204,0.242268,0.196602,0.316730,1.150351,0.972879
2003,10,SE,-0.866025,0.500000,885.2800,0,0,237330.0000,0.091812,0.778597,0.151318,0.334492,0.120157,0.490221,0.376991,0.134035,0.732370,1.531469,0.972879
2003,11,SE,-0.500000,0.866025,331.9800,0,0,88998.7500,0.010779,0.729696,0.082120,0.439753,0.307248,0.599430,0.485356,0.353017,0.865969,1.463851,0.874921
2003,12,SE,-2.4492936e-16,1.000000,221.3200,0,0,59332.5000,-0.321128,0.732588,0.340859,0.691208,0.619065,0.799649,0.748947,0.415583,0.895658,1.672851,1.217772
2004,1,SE,0.500000,0.866025,76.8200,0,0,21769.5600,0.406216,0.692889,0.225713,0.509926,0.681429,0.563027,0.546861,0.697130,0.910502,0.793821,0.923900
2004,2,SE,0.866025,0.500000,76.8200,0,0,21769.5600,-0.315294,0.725753,0.084813,0.705827,0.681429,0.672237,0.748947,0.571998,0.955035,0.763086,0.825943
2004,3,SE,1.000000,6.123234e-17,76.8200,0,0,21769.5600,-0.297791,0.716288,-0.120671,0.784773,0.650247,0.690439,0.819237,0.478149,0.925346,0.898321,0.727985
2004,4,SE,0.866025,-0.500000,115.2300,0,0,32654.3400,-0.124058,0.735743,-0.129137,0.714599,0.619065,0.544825,0.740160,0.415583,0.806592,0.640144,0.825943
2004,5,SE,0.500000,-0.866025,307.2800,0,0,87078.2400,0.052268,0.775705,-0.083474,0.425133,0.338429,0.326406,0.453140,0.603281,0.747214,0.381968,0.532070
2004,6,SE,1.2246468e-16,-1.000000,576.1500,0,0,163271.7000,-0.036543,0.853789,-0.134143,0.278938,0.026611,0.326406,0.303772,0.040186,0.376107,0.830703,0.581049
2004,7,SE,-0.500000,-0.866025,768.2000,0,0,217695.6000,0.280454,0.836174,0.007550,-0.147951,0.026611,0.053381,-0.123830,0.134035,0.153442,1.015115,1.021857
2004,8,SE,-0.866025,-0.500000,768.2000,0,0,217695.6000,0.157286,0.869300,-0.044133,-0.200581,-0.066934,-0.037627,-0.161904,-0.147512,0.138598,0.560233,0.385134
2004,9,SE,-1.000000,-1.8369702e-16,576.1500,0,0,163271.7000,-0.235558,0.835385,-0.112487,0.106428,-0.160479,0.198994,0.142689,-0.147512,0.346418,1.150351,0.630028
2004,10,SE,-0.866025,0.500000,307.2800,0,0,87078.2400,-0.452724,0.765189,0.069458,0.425133,-0.004570,0.726842,0.473641,-0.053663,0.628460,1.672851,1.119815
2004,11,SE,-0.500000,0.866025,115.2300,0,0,32654.3400,-0.391788,0.732588,0.218649,0.515774,0.276066,0.799649,0.558576,0.196602,0.331574,1.574498,1.364709
2004,12,SE,-2.4492936e-16,1.000000,76.8200,0,0,21769.5600,-0.476062,0.722072,0.217098,0.688284,0.276066,0.854254,0.734303,0.227885,0.895658,1.396233,1.119815
2006,1,SE,0.500000,0.866025,298.3400,0,0,95212.6200,-0.386602,0.724701,5.533385,0.702904,0.681429,0.726842,0.740160,0.571998,0.969879,1.267145,0.630028
2006,2,SE,0.866025,0.500000,298.3400,0,0,95212.6200,-0.372989,0.693152,5.772777,0.822783,0.743793,0.890657,0.886599,0.665847,1.058945,1.426969,1.217772
2006,3,SE,1.000000,6.123234e-17,298.3400,0,0,95212.6200,-0.406050,0.708926,7.618331,1.006989,0.930883,0.927060,1.047682,0.790979,1.281609,1.334763,1.217772
