dataset,column,mean,std_pop,min,max,q25,q33,q50,q66,q75,note
row_level_zscore_features,Total_Precipitation,146.8743330457,308.5195187218,0.0000000000,13721.2600000000,27.6000000000,49.0000000000,100.5000000000,163.2000000000,205.9000000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Atmospheric_Pressure_Station,984.5451975841,38.0361046542,883.1400000000,1033.5100000000,976.2400000000,989.0133333333,1004.8100000000,1008.2566666667,1009.7650000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Global_Radiation,1065.3085918896,2347.1927805017,0.0000000000,34949.8600000000,163.0000000000,557.6033333333,710.6400000000,818.5200000000,876.0700000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Air_Temperature,24.8960051769,3.4200920024,11.5500000000,38.9500000000,23.3150000000,24.3733333333,25.8500000000,26.7300000000,27.1600000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Max_Air_Temperature,22.8146574633,3.2069991940,-7.0300000000,45.0000000000,21.1000000000,22.1000000000,23.6000000000,24.5000000000,24.9000000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Min_Air_Temperature,19.2067247627,5.4940073469,-9.0000000000,35.5600000000,16.0100000000,18.0000000000,21.0000000000,22.3000000000,22.8000000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Relative_Humidity,24.3528041415,3.4143898891,10.4800000000,38.7300000000,22.6950000000,23.8800000000,25.3500000000,26.2200000000,26.6300000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Max_Relative_Humidity,23.4715392580,3.1966214064,2.7500000000,45.0000000000,21.8000000000,22.9000000000,24.1000000000,25.1000000000,25.6000000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Min_Relative_Humidity,12.9663226920,6.7365897638,0.0000000000,36.9100000000,7.7000000000,10.7000000000,15.0000000000,17.5000000000,18.4000000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Hourly_Wind_Speed,5.2086177739,1.6267927459,0.0000000000,22.1400000000,4.0800000000,4.4400000000,5.0600000000,5.6400000000,5.9800000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
row_level_zscore_features,Max_Wind_Gust,5.6136704055,2.0417031087,0.0000000000,19.9000000000,4.4000000000,4.8000000000,5.5000000000,6.3000000000,6.9000000000,Z-score: (x - mean) / std_pop. Target and CO2 excluded from row-level feature scaling.
target_thresholds,Deforestation_ha,10131.2740276100,23624.9699713261,0.4000000000,314654.4000000000,565.7800000000,,2334.6300000000,,8851.5000000000,Median class: 1 if > q50. Q75 class: 1 if > q75. Association Critical: > q75.
state_level_clustering_zscore,Deforestation_mean_ha,9614.5080549202,14555.1583489815,12.9375000000,61773.8650793651,1250.0114741036,,4630.7745769231,,10798.1659420290,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Total_Precipitation_mean,149.0261510681,49.1203355481,101.8134920635,290.4230158730,116.2652985075,,133.7042857143,,162.6277777778,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Atmospheric_Pressure_Station_mean,984.8904410780,37.6432883912,887.5042916667,1016.3208730159,978.8976855895,,1004.8969721116,,1009.2693625498,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Global_Radiation_mean,1034.1080370859,953.5976209659,138.9541304348,4556.9238645418,597.1409178744,,689.4136594203,,850.7284462151,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Air_Temperature_mean,25.0154224190,2.8067627993,18.2971031746,28.1756521739,23.6972692308,,26.3407070707,,26.9282258065,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Max_Air_Temperature_mean,22.8509894601,2.2516599418,17.9652777778,25.8638888889,21.4318840580,,23.6530543933,,24.3749344978,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Min_Air_Temperature_mean,19.4163135474,4.3273995448,10.7731884058,24.1020661157,14.9299516908,,21.5992929293,,22.9999203187,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Relative_Humidity_mean,24.4705996448,2.8056570072,17.8186111111,27.4703726708,22.9711153846,,25.7513131313,,26.5104365079,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Max_Relative_Humidity_mean,23.5109375005,2.2674713184,18.7146031746,26.6048412698,21.9159420290,,24.5199601594,,25.0231877729,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Min_Relative_Humidity_mean,13.1574483957,5.4169460811,4.2957142857,19.5593253968,6.9893650794,,16.2869322709,,17.7575252525,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Hourly_Wind_Speed_mean,5.2044653852,1.0594999199,3.6665053763,8.5625099602,4.6872727273,,5.1733750000,,5.7070247934,State-level z-score was fitted after aggregating records by State.
state_level_clustering_zscore,Max_Wind_Gust_mean,5.5694618429,1.2447684378,3.5268995633,8.5750373134,4.5955158730,,5.4036231884,,6.2733333333,State-level z-score was fitted after aggregating records by State.
