State,Record_Count,Deforestation_total_ha,Deforestation_mean_ha,Deforestation_median_ha,CO2_total,Total_Precipitation_mean,Atmospheric_Pressure_Station_mean,Global_Radiation_mean,Air_Temperature_mean,Max_Air_Temperature_mean,Min_Air_Temperature_mean,Relative_Humidity_mean,Max_Relative_Humidity_mean,Min_Relative_Humidity_mean,Hourly_Wind_Speed_mean,Max_Wind_Gust_mean,Deforestation_mean_ha_z,Total_Precipitation_mean_z,Atmospheric_Pressure_Station_mean_z,Global_Radiation_mean_z,Air_Temperature_mean_z,Max_Air_Temperature_mean_z,Min_Air_Temperature_mean_z,Relative_Humidity_mean_z,Max_Relative_Humidity_mean_z,Min_Relative_Humidity_mean_z,Hourly_Wind_Speed_mean_z,Max_Wind_Gust_mean_z,Summer_Temperature_x,Winter_Temperature_x,Avg_Seasonal_Range_x,Seasonal_Range_Variability_x,Summer_Temperature_y,Winter_Temperature_y,Avg_Seasonal_Range_y,Seasonal_Range_Variability_y,Summer_Temperature,Winter_Temperature,Avg_Seasonal_Range,Seasonal_Range_Variability,Summer_Trend,Winter_Trend,Annual_Trend,Summer_Deviation_Trend,Winter_Deviation_Trend
AC,186,1132114.32,6086.636129,3401.52,856562540.0,161.812366,987.553333,620.258978,26.928226,24.064731,22.839946,26.516613,24.861505,16.316398,3.666505,4.807312,-0.242379,0.260304,0.07074,-0.433987,0.681498,0.539043,0.791152,0.729246,0.595627,0.583161,-1.45159,-0.612283,26.378958333333333,26.96875,-0.5897916666666667,1.411222070221935,26.378958333333333,26.96875,-0.5897916666666667,1.411222070221935,26.378958333333333,26.96875,-0.5897916666666667,1.411222070221935,3.924747716941713,3.8408446596808314,4.048392066326443,-0.09157502787552928,1.0056638126448039
AL,251,66527.88,265.051315,127.65,26012538.22,123.59761,1004.896972,1688.667131,25.962231,23.764422,21.858247,25.416733,24.51996,16.866295,5.735219,6.463984,-0.642347,-0.517678,0.531477,0.68641,0.337331,0.405671,0.564296,0.337223,0.444999,0.684675,0.500947,0.718625,26.9084126984127,24.682539682539684,2.2258730158730167,0.8425931565786827,26.9084126984127,24.682539682539684,2.2258730158730167,0.8425931565786827,26.9084126984127,24.682539682539684,2.2258730158730167,0.8425931565786827,-1.224537350191066,-0.5266786381853914,-0.8211875316846894,-0.8903628532700639,0.38467639245851587
AM,276,4352145.0,15768.641304,8046.12,3076207900.0,170.576014,1004.25413,666.676196,27.931087,25.396993,23.59,27.373442,25.99058,18.387717,3.766159,4.323225,0.422815,0.438716,0.5144,-0.385311,1.0388,1.130723,0.964479,1.034639,1.093572,0.965538,-1.357533,-1.00118,27.313043478260866,28.329275362318842,-1.0162318840579765,0.6727048032425993,27.313043478260866,28.329275362318842,-1.0162318840579765,0.6727048032425993,27.313043478260866,28.329275362318842,-1.0162318840579765,0.6727048032425993,-0.9100517720364666,0.028834617149730058,-0.44476354318045186,-1.0058926964725416,0.9408620929689334
AP,121,174058.26,1438.498017,768.5,120879860.0,251.838926,1009.967934,614.81595,27.811157,24.797107,24.102066,27.277851,25.411405,18.75686,5.707025,5.241322,-0.561726,2.09308,0.666188,-0.439695,0.996071,0.864304,1.08281,1.000568,0.838144,1.033684,0.474336,-0.263615,27.220666666666666,28.151666666666664,-0.9309999999999974,0.909477464954058,27.220666666666666,28.151666666666664,-0.9309999999999974,0.909477464954058,27.220666666666666,28.151666666666664,-0.9309999999999974,0.909477464954058,0.668807058236273,-1.035552313494664,-0.5823104793244046,2.629755312126297,-1.2713241998675808
BA,276,3799421.0,13766.018116,8560.595,1390767800.0,137.517029,1008.840942,689.413659,26.029457,24.767935,22.436957,25.524457,25.410109,17.805326,5.571268,4.182899,0.285226,-0.234305,0.636249,-0.361467,0.361282,0.851348,0.698027,0.375619,0.837572,0.858025,0.346204,-1.113913,27.173478260869565,24.61927536231884,2.5542028985507237,0.7102940312937485,27.173478260869565,24.61927536231884,2.5542028985507237,0.7102940312937485,27.173478260869565,24.61927536231884,2.5542028985507237,0.7102940312937485,-0.7540994288498147,-0.949348996127437,-0.9150837162334352,0.302942830443266,-0.41664082115857154
CE,251,313752.88,1250.011474,670.16,89458667.58,114.0649,1009.269363,850.728446,27.278924,23.982829,23.469283,26.790717,24.694622,16.286932,6.440956,5.785458,-0.574676,-0.711747,0.64763,-0.192303,0.806446,0.502669,0.936583,0.826943,0.522028,0.577721,1.167051,0.173523,27.645238095238092,26.797777777777778,0.8474603174603139,0.5398286520230048,27.645238095238092,26.797777777777778,0.8474603174603139,0.5398286520230048,27.645238095238092,26.797777777777778,0.8474603174603139,0.5398286520230048,-0.012812092738693735,-0.2627042648990476,-0.21160572953118592,0.4128270290431495,-0.1970373122012241
DF,240,3105.0,12.9375,5.955,2239258.0,117.267083,887.504292,838.636667,21.426125,18.36125,14.925417,20.76575,18.92125,5.862917,5.173375,6.49875,-0.659668,-0.646556,-2.587079,-0.204983,-1.278803,-1.993969,-1.037782,-1.320493,-2.024144,-1.346613,-0.029344,0.746555,21.73333333333333,20.020166666666665,1.713166666666666,0.49877449228288245,21.73333333333333,20.020166666666665,1.713166666666666,0.49877449228288245,21.73333333333333,20.020166666666665,1.713166666666666,0.49877449228288245,-0.44494368720644467,-0.24123652839057388,-0.3641436481035809,-0.18677968869119058,0.15264791632760763
ES,207,285720.11,1380.290386,743.04,182644830.0,123.989372,1015.95372,597.140918,24.373285,23.347826,18.171498,23.857923,23.927536,12.398551,5.087246,4.861353,-0.565725,-0.509703,0.825201,-0.45823,-0.228782,0.220653,-0.287659,-0.218372,0.183728,-0.140097,-0.110636,-0.568868,26.487450980392154,22.053529411764703,4.433921568627451,1.0182687072333705,26.487450980392154,22.053529411764703,4.433921568627451,1.0182687072333705,26.487450980392154,22.053529411764703,4.433921568627451,1.0182687072333705,-0.2633859980821159,0.350503173059401,0.0012057635711879224,-0.5612951047195042,0.8150737114812193
GO,260,1204001.39,4630.774577,2870.605,479664620.0,112.346154,932.224654,662.065192,23.697269,20.480769,15.357692,22.971115,21.180769,6.892308,3.765,5.815385,-0.342403,-0.746738,-1.399075,-0.390147,-0.469635,-1.052655,-0.937889,-0.53445,-1.027651,-1.156582,-1.358627,0.197565,24.22712121212121,21.796666666666667,2.4304545454545448,0.5102269392942024,24.22712121212121,21.796666666666667,2.4304545454545448,0.5102269392942024,24.22712121212121,21.796666666666667,2.4304545454545448,0.5102269392942024,-0.2522527807408306,0.17246601477917145,0.04573283514976705,-0.6302640463505428,0.31239513172807254
MA,252,6038428.0,23962.015873,13491.175,2701255800.0,166.632143,1005.51504,3005.443016,26.898452,25.552063,23.139286,26.510437,26.09496,19.559325,5.589365,4.595516,0.985734,0.358426,0.547896,2.067261,0.67089,1.199592,0.860325,0.727044,1.139606,1.181824,0.363284,-0.782431,27.01222222222222,26.758253968253968,0.25396825396825307,0.36231340755070757,27.01222222222222,26.758253968253968,0.25396825396825307,0.36231340755070757,27.01222222222222,26.758253968253968,0.25396825396825307,0.36231340755070757,-0.6932307650457493,-0.6874413118384095,-0.7030151003260564,-0.00889205933240811,-0.22237050244218937
