State,Record_Count,Deforestation_total_ha,Deforestation_mean_ha,Deforestation_median_ha,CO2_total,Total_Precipitation_mean,Atmospheric_Pressure_Station_mean,Global_Radiation_mean,Air_Temperature_mean,Max_Air_Temperature_mean,Min_Air_Temperature_mean,Relative_Humidity_mean,Max_Relative_Humidity_mean,Min_Relative_Humidity_mean,Hourly_Wind_Speed_mean,Max_Wind_Gust_mean,Deforestation_mean_ha_z,Total_Precipitation_mean_z,Atmospheric_Pressure_Station_mean_z,Global_Radiation_mean_z,Air_Temperature_mean_z,Max_Air_Temperature_mean_z,Min_Air_Temperature_mean_z,Relative_Humidity_mean_z,Max_Relative_Humidity_mean_z,Min_Relative_Humidity_mean_z,Hourly_Wind_Speed_mean_z,Max_Wind_Gust_mean_z
AC,186,1132114.320000,6086.636129,3401.520000,8.5656254e+08,161.812366,987.553333,620.258978,26.928226,24.064731,22.839946,26.516613,24.861505,16.316398,3.666505,4.807312,-0.242379,0.260304,0.070740,-0.433987,0.681498,0.539043,0.791152,0.729246,0.595627,0.583161,-1.451590,-0.612283
AL,251,66527.880000,265.051315,127.650000,26012538.220000,123.597610,1004.896972,1688.667131,25.962231,23.764422,21.858247,25.416733,24.519960,16.866295,5.735219,6.463984,-0.642347,-0.517678,0.531477,0.686410,0.337331,0.405671,0.564296,0.337223,0.444999,0.684675,0.500947,0.718625
AM,276,4352145.000000,15768.641304,8046.120000,3.0762079e+09,170.576014,1004.254130,666.676196,27.931087,25.396993,23.590000,27.373442,25.990580,18.387717,3.766159,4.323225,0.422815,0.438716,0.514400,-0.385311,1.038800,1.130723,0.964479,1.034639,1.093572,0.965538,-1.357533,-1.001180
AP,121,174058.260000,1438.498017,768.500000,1.2087986e+08,251.838926,1009.967934,614.815950,27.811157,24.797107,24.102066,27.277851,25.411405,18.756860,5.707025,5.241322,-0.561726,2.093080,0.666188,-0.439695,0.996071,0.864304,1.082810,1.000568,0.838144,1.033684,0.474336,-0.263615
BA,276,3799421.000000,13766.018116,8560.595000,1.3907678e+09,137.517029,1008.840942,689.413659,26.029457,24.767935,22.436957,25.524457,25.410109,17.805326,5.571268,4.182899,0.285226,-0.234305,0.636249,-0.361467,0.361282,0.851348,0.698027,0.375619,0.837572,0.858025,0.346204,-1.113913
CE,251,313752.880000,1250.011474,670.160000,89458667.580000,114.064900,1009.269363,850.728446,27.278924,23.982829,23.469283,26.790717,24.694622,16.286932,6.440956,5.785458,-0.574676,-0.711747,0.647630,-0.192303,0.806446,0.502669,0.936583,0.826943,0.522028,0.577721,1.167051,0.173523
DF,240,3105.000000,12.937500,5.955000,2239258.000000,117.267083,887.504292,838.636667,21.426125,18.361250,14.925417,20.765750,18.921250,5.862917,5.173375,6.498750,-0.659668,-0.646556,-2.587079,-0.204983,-1.278803,-1.993969,-1.037782,-1.320493,-2.024144,-1.346613,-0.029344,0.746555
ES,207,285720.110000,1380.290386,743.040000,1.8264483e+08,123.989372,1015.953720,597.140918,24.373285,23.347826,18.171498,23.857923,23.927536,12.398551,5.087246,4.861353,-0.565725,-0.509703,0.825201,-0.458230,-0.228782,0.220653,-0.287659,-0.218372,0.183728,-0.140097,-0.110636,-0.568868
GO,260,1204001.390000,4630.774577,2870.605000,4.7966462e+08,112.346154,932.224654,662.065192,23.697269,20.480769,15.357692,22.971115,21.180769,6.892308,3.765000,5.815385,-0.342403,-0.746738,-1.399075,-0.390147,-0.469635,-1.052655,-0.937889,-0.534450,-1.027651,-1.156582,-1.358627,0.197565
MA,252,6038428.000000,23962.015873,13491.175000,2.7012558e+09,166.632143,1005.515040,3005.443016,26.898452,25.552063,23.139286,26.510437,26.094960,19.559325,5.589365,4.595516,0.985734,0.358426,0.547896,2.067261,0.670890,1.199592,0.860325,0.727044,1.139606,1.181824,0.363284,-0.782431
MG,207,2235220.350000,10798.165942,5874.510000,1.3916582e+09,138.992271,919.180483,223.933623,21.968164,19.279227,14.929952,21.300531,20.133816,6.050725,5.215314,5.780193,0.081322,-0.204271,-1.745596,-0.849598,-1.085684,-1.586280,-1.036734,-1.129884,-1.489378,-1.311943,0.010239,0.169294
MS,268,1744760.560000,6510.300597,3708.875000,8.9139142e+08,116.265299,952.810410,630.899328,23.831978,21.666306,14.331978,23.225858,22.316045,7.082799,6.202500,8.575037,-0.213272,-0.666951,-0.852211,-0.422829,-0.421640,-0.526138,-1.174917,-0.443654,-0.526971,-1.121416,0.941986,2.414566
