Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2003,SE,-208569.4,984.2932076446281,-8746.314824380166,-0.8070893595041323,25.0,-9999.0,-2.5325929752066116,25.4,-9999.0,-21.65989152892562,8.1
2004,SE,-388642.4,965.0099385245902,-8695.456397996357,-18.25299408014572,25.0,-9999.0,-18.674965846994535,25.7,-9999.0,-37.63948087431694,8.4
2006,SE,-45915099.0,-4759.814805936074,-3825.120776255708,-5228.589566210046,25.8,-9999.0,-5228.756598173516,26.0,-9999.0,-5237.919794520548,8.1
2007,SE,-48034775.4,-5025.150376712329,-7100.500570776256,-5471.370114155251,25.7,-9999.0,-5472.705388127854,26.3,-9999.0,-5491.7373972602745,9.0
2008,SE,-21646957.8,-1700.4481898907104,-5203.830601092896,-2445.934801912568,30.3,-9999.0,-2446.3042122040074,30.3,-9999.0,-2459.37098132969,7.9
2009,SE,-9218567.0,-145.8574885844749,-4169.362557077626,-1028.497077625571,29.9,-9999.0,-1028.8893264840183,30.4,-9999.0,-1046.4720091324202,8.7
2010,SE,-11327338.2,-410.74573059360733,-3828.105707762557,-1275.6208447488584,30.1,-9999.0,-1284.032899543379,30.5,-9999.0,-5022.4310045662105,10.8
2011,SE,-88582.6,1002.0108447488584,733.267808219178,16.2288698630137,24.7,-9999.0,15.769566210045662,27.3,-9999.0,-3.4210159817351595,8.4
2012,SE,-38971.4,1009.3214936247723,774.8466530054645,21.919729052823314,27.8,-9999.0,21.474681238615666,28.1,-9999.0,2.5516621129326045,8.7
2013,SE,-14827583.6,988.7634931506849,-2826.0962328767123,3.8428310502283103,30.1,-9999.0,-0.04452054794520562,31.1,-9999.0,-19.335011415525116,8.2
2014,SE,-8653.800000000001,1014.4840068493152,-3808.911301369863,26.66761415525114,29.5,20.6,26.140536529680364,30.5,-9999.0,6.836735159817352,8.2
2015,SE,-8479.8,1014.5575456621004,-3797.242694063927,25.69767123287671,27.1,19.4,26.36711187214612,28.9,-9999.0,5.6843150684931505,8.5
2016,SE,-21597096.6,1014.5570582877959,-3799.768897996357,26.98765938069217,24.3,20.7,26.56080373406193,24.6,11.6,-4426.638695355191,8.7
2017,SE,-30286352.0,887.4640867579909,-3814.241780821918,-88.9971118721461,23.4,-9999.0,-91.74551369863013,24.7,-9999.0,-4444.014121004567,6.6
2018,SE,-13568103.4,1014.1384817351598,-3786.6254566210046,26.793812785388127,23.7,-9999.0,25.16383561643836,24.6,-9999.0,5.166803652968036,6.9
2019,SE,1451.2,1014.1865068493152,1150.4092766653046,27.068789954337902,28.0,20.4,26.544651215892227,29.2,12.7,6.001632606461925,7.0
2020,SE,1426.2,1013.8909380692168,,26.835860655737708,23.7,19.8,26.324419398907104,24.5,9.2,5.934392076502732,7.0
2021,SE,1148.6,1013.9441745166088,,26.86026990219141,34.7,19.9,26.231385415376995,35.1,-9.2,5.9686787307883,6.5
2022,SE,259.4,1013.0550680786687,,26.067851739788196,29.0,21.2,25.6910363086233,29.2,13.1,6.313956127080181,6.0
2023,SE,1511.6,1014.1173179160022,,26.40655236576289,30.0,20.8,25.967769803296118,30.6,-9.8,5.654053694843168,6.5
2003,PA,-20775117.8,-1666.0284474445516,375.4868611378978,-2409.6933100289293,26.1,-9999.0,-2411.286354869817,27.4,-9999.0,-2428.011692381871,5.1
2004,PA,-37883442.4,-3739.298030510018,-313.57103825136613,-4297.9597108378875,26.0,-9999.0,-4298.262647996357,26.9,-9999.0,-4310.906193078325,5.1
2005,PA,-22145111.4,-1789.9852397260272,183.91541095890412,-2547.069760273973,43.4,-9999.0,-2511.958835616438,43.7,-9999.0,-2531.108025114155,5.7
2006,PA,-30764939.8,-2857.8750456621,-1551.511187214612,-3547.1278424657535,43.5,-9999.0,-3494.8082305936073,44.4,-9999.0,-3509.7185730593606,5.9
2007,PA,-28324839.0,-2551.0211643835614,-1311.9083333333333,-3215.824714611872,26.0,-9999.0,-3223.04901826484,27.0,-9999.0,-3238.196792237443,4.4
2008,PA,-16755701.4,-1092.0473360655737,-4735.033356102003,-1886.0182832422586,26.5,-9999.0,-1904.7477459016393,26.6,-9999.0,-1932.894250910747,6.4
2009,PA,-4926290.2,389.0779109589041,-4116.754337899543,-537.4883333333333,26.2,-9999.0,-546.0073858447489,26.9,-9999.0,-569.2005136986302,5.6
2010,PA,-127165.2,991.7318721461187,-4099.114155251142,12.27554794520548,26.0,-9999.0,11.73587899543379,27.1,-9999.0,-11.057043378995434,5.6
2011,PA,-856712.0,901.412111872146,-4092.401712328767,-70.6009703196347,27.3,-9999.0,-74.56384703196348,28.1,-9999.0,-97.89367579908675,5.8
2012,PA,-2186711.4,734.2946152094718,-4217.403916211293,-225.69757513661202,26.1,-9999.0,-228.5155737704918,26.3,-9999.0,-250.23554189435336,5.7
2013,PA,-256963.0,976.0173515981735,-4110.415182648402,-2.9873515981735155,26.3,-9999.0,-4.6828310502283115,27.0,-9999.0,-27.220342465753426,5.9
2014,PA,-3156622.6,612.028299086758,-4144.243493150685,-334.92966894977167,26.1,-9999.0,-343.4784589041096,27.0,-9999.0,-370.9289840182648,6.4
2015,PA,-1987045.0,759.244006849315,-4179.790182648402,-200.80650684931507,26.9,-9999.0,-205.9404908675799,27.2,-9999.0,-229.27405251141553,4.2
2016,PA,-17182.2,1006.6612591074681,-4087.994193989071,24.83657786885246,27.1,-9999.0,24.289355646630238,27.7,-9999.0,1.304872495446266,6.2
2017,PA,-786646.0,917.152203196347,-4435.823515981735,-56.66703196347032,26.2,-9999.0,-58.342123287671235,27.0,-9999.0,-82.20642694063928,7.2
2018,PA,-475779.2,951.307705479452,-2777.9253424657536,-26.051438356164383,25.7,-9999.0,-30.021826484018266,26.7,-9999.0,-107.44793378995433,6.3
2019,PA,4268.0,1009.1661369612438,616.1138676117527,26.809902801600916,27.4,21.5,26.235174385363067,27.6,18.5,3.199302618040471,5.5
2020,PA,4080.6,1008.8847771836007,,26.958148104124568,26.8,2.0,26.410143893447497,27.4,3.9,3.6362771900629975,5.3
2021,PA,4300.2,1008.6406572988037,,26.820137034026246,27.9,22.1,26.232853327139704,28.6,18.2,3.545627685518523,7.2
2022,PA,3721.4,1008.5465278599315,,26.875774781168676,27.8,21.8,26.29924278277331,29.0,11.6,4.094453531598513,6.0
2023,PA,2631.2,1008.866219081272,,27.53384778510839,28.2,21.8,26.943818503241012,28.6,19.1,4.115258630847178,5.4
2006,MG,-289069.4,757.2856350806452,,-124.46507056451614,21.5,-9999.0,-130.06345766129033,22.8,-9999.0,-145.76466733870967,6.6
2007,MG,-3308272.8,506.72054794520545,,-356.8140296803653,22.5,-9999.0,-360.8693378995434,23.3,-9999.0,-375.89260273972604,10.1
2008,MG,-1837230.0,689.8309653916211,,-188.3730305100182,22.1,-9999.0,-189.00253870673953,23.0,-9999.0,-204.40676229508196,9.2
2009,MG,-247579.0,888.5339269406393,,-5.509520547945206,22.6,-9999.0,-6.165787671232877,23.6,-9999.0,-22.432979452054795,7.3
2010,MG,-318322.4,892.6578767123287,,-2.2682990867579904,22.2,-9999.0,-5.217294520547945,23.5,-9999.0,-23.274178082191778,7.4
2011,MG,-98002.4,906.1289269406393,,10.064006849315069,21.7,-9999.0,8.28837899543379,22.8,-9999.0,-7.192534246575343,8.9
2012,MG,-718438.2,829.9163706739527,,-60.32255236794172,22.0,-9999.0,-62.12832422586521,22.7,-9999.0,-81.09608378870674,8.2
2013,MG,-198152.6,894.1874429223744,,-1.2514840182648401,21.5,-9999.0,-3.0295433789954336,22.3,-9999.0,-18.722351598173514,6.6
2014,MG,-18877.8,917.3106621004566,,19.826780821917808,21.0,-9999.0,19.1522602739726,22.4,-9999.0,2.1171803652968038,8.1
2015,MG,-28745.2,915.9282762557078,,19.2987100456621,21.9,-9999.0,18.636187214611873,23.0,-9999.0,0.7704223744292237,7.9
2016,MG,-238520.6,889.7213342440801,,-4.974738160291439,22.0,-9999.0,-6.780009107468124,23.4,-9999.0,-23.201183970856103,10.2
2017,MG,-38803.0,916.1741095890411,,-6.808915525114155,21.5,-9999.0,-9.748253424657534,22.5,-9999.0,-1.2405022831050228,6.6
2018,MG,-8312.4,918.1207876712328,,20.699132420091324,22.4,-9999.0,18.900136986301373,22.7,-9999.0,2.823356164383562,7.4
2019,MG,1070.4,919.6754794520548,,22.604760273972605,22.4,8.0,21.893491664763648,23.2,0.1,5.190477277917332,8.2
2020,MG,2076.8,919.4605750431283,1330.4544240400667,21.804416331224843,22.8,9.2,21.116651323360184,23.5,-1.8,4.893383199079402,7.8
2021,MG,1664.4,919.0068721461188,1395.9403797468356,21.6663698630137,22.4,8.5,20.958059360730594,23.3,-9.8,4.937808219178081,5.4
2022,MG,1691.6,919.0331695612431,1347.1536569987388,21.453164990859232,21.9,7.2,20.763172934049607,24.6,-2.1,4.829557663732999,5.5
2023,MG,1211.4,919.2781392694064,1397.969966230477,22.561632420091325,22.7,9.6,21.84478310502283,23.7,0.8,4.733835616438356,7.1
2010,RR,-299523.0,892.3224543080939,-3993.8834856396866,-70.25669060052219,25.4,-9999.0,-70.89122062663186,26.2,-9999.0,-103.53332245430809,5.0
2011,RR,-87880.6,989.8331050228311,-3908.0096803652964,16.896084474885846,25.3,-9999.0,16.28184931506849,25.9,-9999.0,-10.292054794520547,7.3
2012,RR,-39186.4,996.6255806010929,-3911.594433060109,22.852140255009108,25.0,-9999.0,22.203426684881602,25.8,-9999.0,-15.675295992714027,6.7
2013,RR,-7577687.6,984.1871232876712,-3875.69352739726,11.422853881278538,25.2,-9999.0,10.791929223744292,26.4,-9999.0,-17.857408675799086,5.9
2014,RR,-37315670.0,114.01566210045661,-4281.309520547945,-781.371198630137,24.3,-9999.0,-796.8576712328768,25.7,-9999.0,-828.4562557077626,6.2
2015,RR,-58614111.4,990.7290525114155,-3896.7629452054794,17.923881278538815,25.2,-9999.0,17.294383561643834,26.0,-9999.0,-11.755296803652968,6.6
2016,RR,-11097360.2,-387.95056921675774,-4638.406511839708,-1239.095298269581,25.5,-9999.0,-1241.8919398907105,25.8,-9999.0,-1264.7900159380692,6.8
2017,RR,-4858291.4,391.4457305936073,-3973.751164383562,-528.3725456621005,24.7,-9999.0,-540.3901141552512,25.8,-9999.0,-593.3866666666667,6.1
2018,RR,-13646824.4,-712.0681506849315,-4848.820410958904,-1534.9172488584475,24.9,-9999.0,-1535.4159703196347,27.1,-9999.0,-1557.2375456621005,5.4
2019,RR,2109.4,1002.0476712328766,1399.4014348530432,27.560262060750446,26.2,21.3,26.976748064324003,26.8,11.3,5.053432835820895,6.3
2020,RR,1276.0,1002.3155488822156,,27.44503255969277,25.3,21.1,26.836252716028746,26.1,12.0,4.901673080140538,6.1
2021,RR,23.8,1001.1373056994819,,28.822279792746112,23.0,22.6,27.758115183246073,23.5,16.6,6.254255319148936,4.6
2022,RR,50.6,1001.8723515368547,,26.700564384375465,23.3,21.0,26.11224550453262,24.2,12.0,4.376885360728462,6.0
2023,RR,1636.8,1002.2128046899106,,27.447340916077465,25.1,21.6,26.84511220411927,25.7,10.9,5.134787991333952,6.1
2000,DF,-4988845.0,-60.88248952513967,-4477.508554469274,-851.9694657821228,19.6,-9999.0,-948.7072974860336,20.1,-9999.0,-1000.8322800279329,7.8
2001,DF,-7708146.0,-94.16239726027398,-4464.939726027397,-859.6700913242009,20.3,-9999.0,-900.2361757990868,20.7,-9999.0,-914.2815981735159,7.9
2002,DF,-7027993.0,1.5791438356164396,-4374.134246575342,-773.3526369863014,20.3,-9999.0,-832.239303652968,21.3,-9999.0,-857.1065525114155,8.1
2003,DF,-5168492.0,234.29011415525113,-4224.257420091324,-570.075,20.1,-9999.0,-610.650296803653,20.8,-9999.0,-625.2853881278539,10.0
2004,DF,-9917761.2,-346.03605418943533,-7475.954804189435,-1096.8480418943532,20.1,-9999.0,-1225.1366917122039,21.3,-9999.0,-1254.3224499089254,9.3
2005,DF,-2078154.2,628.7339726027396,-4592.992123287671,-217.800901826484,20.6,-9999.0,-219.54165525114155,21.4,-9999.0,-234.5378082191781,8.6
2007,DF,-2378662.4,592.7749086757991,-4042.264611872146,-249.4553424657534,20.4,-9999.0,-250.07234018264842,20.8,-9999.0,-269.6834589041096,8.3
